Elevation,area,area_acc_sum,prop,prop_acc_sum,z,damage_curve
7.95,0.116511353,19.54761423,0.489377526,56.20300501,,
8.05,0.13700911,19.68462334,0.396228865,56.59923387,,
8.15,0.170639115,19.85526245,0.796227418,57.39546129,,
8.25,0.16777444,20.02303689,0.750917436,58.14637873,,
8.35,0.110152644,20.13318954,0.376245289,58.52262402,,
8.45,0.17035499,20.30354453,0.968395074,59.49101909,,
8.55,0.098445789,20.40199032,0.778011068,60.26903016,,
8.65,0.130608143,20.53259846,0.520373906,60.78940406,,
8.75,0.233388713,20.76598717,1.544342685,62.33374675,,
8.85,0.156792621,20.92277979,1.003334447,63.3370812,,
8.95,0.134159702,21.0569395,1.000757232,64.33783843,,
9.05,0.165625981,21.22256548,1.296435292,65.63427372,,
9.15,0.151308135,21.37387361,0.88684858,66.5211223,,
9.25,0.093960222,21.46783383,0.475986876,66.99710918,,
9.35,0.249228989,21.71706282,1.294116242,68.29122542,,
9.45,0.185559875,21.9026227,0.886920276,69.17814569,,
9.55,0.083555892,21.98617859,0.52086813,69.69901382,,
9.65,0.166567018,22.15274561,1.613421275,71.3124351,,
9.75,0.142228034,22.29497364,1.086844001,72.3992791,,
9.85,0.072350488,22.36732413,0.436482333,72.83576143,,
9.95,0.177705857,22.54502999,1.55082179,74.38658322,,
10.05,0.149812225,22.69484221,1.452344696,75.83892792,,
10.15,0.10981222,22.80465443,0.536731832,76.37565975,,
10.25,0.145762236,22.95041667,1.299080767,77.67474052,,
10.35,0.137642383,23.08805905,1.185073685,78.8598142,,
10.45,0.061841631,23.14990068,0.485078934,79.34489314,,
10.55,0.170167909,23.32006859,0.937962315,80.28285545,,
10.65,0.213470425,23.53353902,1.386469458,81.66932491,,
10.75,0.102467273,23.63600629,0.430744672,82.10006958,,
10.85,0.092554318,23.72856061,0.55453556,82.65460514,,
10.95,0.134955962,23.86351657,1.014100521,83.66870566,,
11.05,0.133424364,23.99694093,0.474707653,84.14341332,,
11.15,0.183519868,24.1804608,1.123359031,85.26677235,,
11.25,0.129543731,24.31000453,1.115956714,86.38272906,,
11.35,0.061993765,24.3719983,0.712694348,87.09542341,,
11.45,0.104515468,24.47651376,0.917757428,88.01318084,,
11.55,0.125187239,24.601701,0.997370316,89.01055115,,
11.65,0.050485834,24.65218684,0.349175902,89.35972706,,
11.75,0.081386739,24.73357358,0.746094466,90.10582152,,
11.85,0.263162404,24.99673598,2.103329263,92.20915078,,
11.95,0.088400359,25.08513634,0.722654975,92.93180576,,
12.05,0.069610127,25.15474647,0.365171954,93.29697771,,
12.15,0.106195215,25.26094168,0.915739986,94.2127177,,
12.25,0.049392813,25.31033449,0.743830245,94.95654794,,
12.35,0.086813544,25.39714804,0.438907792,95.39545574,,
12.45,0.127443621,25.52459166,1.256432252,96.65188799,,
12.55,0.062010998,25.58660266,0.770957352,97.42284534,,
12.65,0.035579663,25.62218232,0.351062849,97.77390819,,
12.75,0.070989431,25.69317175,0.617546454,98.39145464,,
12.85,0.056949328,25.75012108,0.646428273,99.03788292,,
12.95,0.052192649,25.80231373,0.322734144,99.36061706,,
13.05,0.066301817,25.86861555,0.615166973,99.97578403,,
13.15,0.038605875,25.90722142,0.287923352,100.2637074,,
13.25,0.049679339,25.95690076,0.357538335,100.6212457,,
13.35,0.10339972,26.06030048,1.463292779,102.0845385,,
13.45,0.053981081,26.11428156,0.735101696,102.8196402,,
13.55,0.045413863,26.15969543,1.133649224,103.9532894,,
